Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2013","2013","t","1448992","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2014","2014","t","1637777.56","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2015","2015","t","1796000","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2016","2016","t","1634000","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2017","2017","t","2034000","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2018","2018","t","2113189","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2019","2019","t","2235043","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2020","2020","t","2200000","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2021","2021","t","2228459","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2022","2022","t","2358991","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2023","2023","t","1822441","A","Official value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","01640","Cocoa beans","2024","2024","t","1890442","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","1991","1991","t","241796","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","1992","1992","t","312122","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","1993","1993","t","254652","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","1994","1994","t","288075","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","1995","1995","t","403900","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","1996","1996","t","403000","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","1997","1997","t","322490","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","1998","1998","t","409360","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","1999","1999","t","434200","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2000","2000","t","436600","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2001","2001","t","389591","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2002","2002","t","340562","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2003","2003","t","497000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2004","2004","t","737000","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2005","2005","t","740000","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2006","2006","t","734000","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2007","2007","t","614500","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2008","2008","t","680781","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2009","2009","t","710638","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2010","2010","t","632037.4","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2011","2011","t","700020","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2012","2012","t","879348","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2013","2013","t","835466","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2014","2014","t","858720","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2015","2015","t","858720","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2016","2016","t","858720","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2017","2017","t","969300","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2018","2018","t","904700","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2019","2019","t","811700","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2020","2020","t","800000","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2021","2021","t","1047385","A","Official value",""
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2022","2022","t","683300","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2023","2023","t","653700","X","Value from external organization","Unofficial figure"
"QCL","Crops and livestock products","288","Ghana","5510","Production","01640","Cocoa beans","2024","2024","t","530000","X","Value from external organization","Unofficial figure"
